Bit;SMARTS
KR106;[!#1][CH]([NH]C(=O)[!#1])C(Cl)(Cl)Cl
KR107;[!#1][CH]([NH]C(=O)[CH2][CH2][CH2][CH2][CH3])C(Cl)(Cl)Cl
KR108;[!#1][CH]([NH]S(=O)(=O)[!#1])C(Cl)(Cl)Cl
KR109;[!#1][CH]([NH2])[CH2][CH3]
KR110;[!#1][CH]([NH2])[CH2]C(=O)[OH]
KR111;[!#1][CH]([NH2])C(=O)[OH]
KR112;[!#1][CH]([OH])[CH]([NH2])[CH2][OH]
KR113;[!#1][CH]([OH])[CH2][NH]C(=O)[!#1]
KR114;[!#1][CH]([OH])[CH2][NH2]
KR115;[!#1][CH]([OH])[CH2][OH]
KR116;[!#1][CH]([OH])C(=N[NH]C(=O)[!#1])[!#1]
KR117;[!#1][CH]([OH])C(Cl)(Cl)Cl
KR118;[!#1][CH]([OH])C(F)(F)F
KR119;[!#1][CH]([OH])c1[cH][cH][cH][cH][cH]1
KR120;[!#1][CH](C(=O)[CH3])C(=O)[CH3]
KR121;[!#1][CH](C(=O)O[CH2][CH3])C(=O)O[CH2][CH3]
KR122;[!#1][CH](C(=O)O[CH3])C(=O)O[CH3]
KR123;[!#1][CH](F)C(F)(F)F
KR124;[!#1][CH](F)OC(F)(F)F
KR125;[!#1][CH](OC(=O)[CH3])OC(=O)[CH3]
KR126;[!#1][CH]=[CH][!#1]
KR127;[!#1][CH]=[CH][CH]([!#1])C([CH3])([CH3])[CH3]
KR128;[!#1][CH]=[CH][CH]=C1SC(=S)N([!#1])C1=O
KR129;[!#1][CH]=[CH][CH]=N[!#1]
KR130;[!#1][CH]=[CH][CH]=N[NH]C(=O)[!#1]
KR131;[!#1][CH]=[CH]C(=N[NH]C(=O)[!#1])[!#1]
KR132;[!#1][CH]=[CH]C(=N[NH]C(=O)[!#1])[CH3]
KR133;[!#1][CH]=[CH]C(=O)[!#1]
KR134;[!#1][CH]=[CH]C(=O)[NH][NH]C(=O)[!#1]
KR135;[!#1][CH]=[CH]C(=O)[NH]C(=S)[!#1]
KR136;[!#1][CH]=[CH]C(=O)[OH]
KR137;[!#1][CH]=[CH]N([!#1])[CH3]
KR138;[!#1][CH]=[CH2]
KR139;[!#1][CH]=C([NH]C(=O)[!#1])C(=O)[!#1]
KR140;[!#1][CH]=C([NH]C(=O)[!#1])C(=O)[NH][CH2][CH2][CH2]N([CH3])[CH3]
KR141;[!#1][CH]=C(C#N)C#N
KR142;[!#1][CH]=C(C#N)C(=O)[NH2]
KR143;[!#1][CH]=C(C#N)C(=O)O[CH2][CH3]
KR144;[!#1][CH]=C(Cl)Cl
KR145;[!#1][CH]=C1[CH2]N([!#1])[CH2]C(=[CH][!#1])C1=O
KR146;[!#1][CH]=c1[nH]c(=O)c(=[CH][!#1])[nH]c1=O
KR147;[!#1][CH]=C1C(=NN(C1=O)c2[cH][cH]c([!#1])[cH][cH]2)[!#1]
KR148;[!#1][CH]=C1C(=O)[NH]C(=O)[NH]C1=O
KR149;[!#1][CH]=C1C(=O)[NH]C(=O)N([!#1])C1=O
KR150;[!#1][CH]=C1C(=O)[NH]C(=O)N(C1=O)c2[cH][cH][cH]c3[cH][cH][cH][cH]c23
KR151;[!#1][CH]=C1C(=O)c2[cH][cH][cH][cH]c2C1=O
KR152;[!#1][CH]=C1C(=O)N(N=C1c2[cH][cH][cH][cH][cH]2)c3[cH][cH]c([!#1])[cH][cH]3
KR153;[!#1][CH]=C1C(=O)OC([!#1])([CH3])OC1=O
KR154;[!#1][CH]=C1N=C(OC1=O)c2[cH][cH][cH][cH][cH]2
KR155;[!#1][CH]=C1OC(=O)c2c1[cH]c([!#1])[nH]c2=O
KR156;[!#1][CH]=C1SC(=N[!#1])[NH]C1=O
KR157;[!#1][CH]=C1SC(=O)N([!#1])C1=O
KR158;[!#1][CH]=C1SC(=S)[NH]C1=O
KR159;[!#1][CH]=C1SC(=S)N([!#1])C1=O
KR160;[!#1][CH]=C1SC(=S)N(C1=O)c2[cH][cH]c([!#1])[cH][cH]2
KR161;[!#1][CH]=N[!#1]
KR162;[!#1][CH]=N[CH]([!#1])[CH3]
KR163;[!#1][CH]=N[CH2][CH2][CH2][CH2][CH2][CH2]N=[CH][!#1]
KR164;[!#1][CH]=N[CH2][CH2][NH]C(=O)[!#1]
KR165;[!#1][CH]=N[CH2][CH2]N=[CH][!#1]
KR166;[!#1][CH]=N[NH]C(=[NH])[NH][N+](=O)[O-]
KR167;[!#1][CH]=N[NH]C(=[NH])[NH2]
KR168;[!#1][CH]=N[NH]C(=O)[!#1]
KR169;[!#1][CH]=N[NH]C(=O)[CH]([!#1])[CH3]
KR170;[!#1][CH]=N[NH]C(=O)[CH]([!#1])[NH]C(=O)[!#1]
KR171;[!#1][CH]=N[NH]C(=O)[CH]([!#1])[OH]
KR172;[!#1][CH]=N[NH]C(=O)[CH2][CH2][CH]([CH3])[OH]
KR173;[!#1][CH]=N[NH]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]
KR174;[!#1][CH]=N[NH]C(=O)[CH2][CH2][CH2][CH2][CH3]
KR175;[!#1][CH]=N[NH]C(=O)[CH2][NH]C(=O)[!#1]
KR176;[!#1][CH]=N[NH]C(=O)[CH2][OH]
KR177;[!#1][CH]=N[NH]C(=O)[CH2]C(=O)[NH]N=[CH][!#1]
KR178;[!#1][CH]=N[NH]C(=O)[NH2]
KR179;[!#1][CH]=N[NH]C(=O)C(=O)[NH]N=[CH][!#1]
KR180;[!#1][CH]=N[NH]C(=O)O[CH2][CH3]
KR181;[!#1][CH]=N[NH]C(=S)[NH2]
KR182;[!#1][CH]=N[NH]C(=S)S[CH3]
KR183;[!#1][CH]=N[NH]S(=O)(=O)[!#1]
KR184;[!#1][CH]=N[OH]
KR185;[!#1][CH]=NC(=N[NH]C(=O)[!#1])[!#1]
KR186;[!#1][CH]=NN([!#1])[CH3]
KR187;[!#1][CH]=NN=[CH][!#1]
KR188;[!#1][CH]=NOC(=O)[!#1]
KR189;[!#1][CH]=O
KR190;[!#1][CH]1[CH]([!#1])[CH]2[CH2][CH]1[CH]=[CH]2
KR191;[!#1][CH]1[CH]([!#1])[CH]2c3[cH][cH][cH][cH]c3[CH]1c4[cH][cH][cH][cH]c24
KR192;[!#1][CH]1[CH]([CH]2[CH2][CH]1[CH]=[CH]2)C(=O)[OH]
KR193;[!#1][CH]1[CH]([CH]2c3[cH][cH][cH][cH]c3[CH]1c4[cH][cH][cH][cH]c24)C(=O)[OH]
KR194;[!#1][CH]1[CH]([OH])O[CH]([CH2][OH])[CH]([OH])[CH]1[OH]
KR195;[!#1][CH]1[CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2][CH]1[CH2]3
KR196;[!#1][CH]1[CH]2[CH2][CH2][CH2][CH2][CH]12
KR197;[!#1][CH]1[CH]2S[CH2]C1([!#1])[CH2][CH2][CH]2[!#1]
KR198;[!#1][CH]1[CH2][CH]([CH3])[CH2][CH2][CH]1[CH]([CH3])[CH3]
KR199;[!#1][CH]1[CH2][CH]=[CH][CH2][CH]1[!#1]
KR200;[!#1][CH]1[CH2][CH]=[CH][CH2][CH]1C(=O)[OH]
KR201;[!#1][CH]1[CH2][CH]1[!#1]
KR202;[!#1][CH]1[CH2][CH]1c2[cH][cH][cH][cH][cH]2
