Bit;SMARTS
KR1933;[!#1]c1[cH]c([!#1])c([!#1])c([!#1])c1[!#1]
KR1934;[!#1]c1[cH]c([!#1])c([!#1])c([!#1])n1
KR1935;[!#1]c1[cH]c([!#1])c([!#1])c(=O)[nH]1
KR1936;[!#1]c1[cH]c([!#1])c([!#1])c(=O)o1
KR1937;[!#1]c1[cH]c([!#1])c([!#1])s1
KR1938;[!#1]c1[cH]c([!#1])c([OH])c(n1)C([CH3])([CH3])[CH3]
KR1939;[!#1]c1[cH]c([!#1])c2[cH][cH][cH][cH]c2c1[!#1]
KR1940;[!#1]c1[cH]c([!#1])c2[cH][cH][cH][cH]c2n1
KR1941;[!#1]c1[cH]c([!#1])c2[cH][cH][cH]nc2c1[!#1]
KR1942;[!#1]c1[cH]c([!#1])c2n([!#1])n[cH][n+]2n1
KR1943;[!#1]c1[cH]c([!#1])n([!#1])c(=O)c1[!#1]
KR1944;[!#1]c1[cH]c([!#1])n([!#1])c(=O)n1
KR1945;[!#1]c1[cH]c([!#1])n([!#1])n1
KR1946;[!#1]c1[cH]c([!#1])n(n1)c2[cH][cH][cH][cH][cH]2
KR1947;[!#1]c1[cH]c([!#1])nc([!#1])n1
KR1948;[!#1]c1[cH]c([!#1])on1
KR1949;[!#1]c1[cH]c([cH][cH]c1[CH3])[CH]([CH3])[CH3]
KR1950;[!#1]c1[cH]c([cH][cH]c1[CH3])[N+](=O)[O-]
KR1951;[!#1]c1[cH]c([cH][cH]c1[OH])[N+](=O)[O-]
KR1952;[!#1]c1[cH]c([cH][cH]c1[OH])S(=O)(=O)c2[cH][cH]c([OH])c([!#1])[cH]2
KR1953;[!#1]c1[cH]c([cH][cH]c1C(=O)[OH])[N+](=O)[O-]
KR1954;[!#1]c1[cH]c([cH][cH]c1C(=O)[OH])C(=O)[OH]
KR1955;[!#1]c1[cH]c([cH][cH]c1Cl)[N+](=O)[O-]
KR1956;[!#1]c1[cH]c([cH][cH]c1Cl)C(F)(F)F
KR1957;[!#1]c1[cH]c([cH][cH]c1O[CH3])[N+](=O)[O-]
KR1958;[!#1]c1[cH]c([cH]c([cH]1)[N+](=O)[O-])[N+](=O)[O-]
KR1959;[!#1]c1[cH]c([cH]c([cH]1)C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3]
KR1960;[!#1]c1[cH]c([cH]c([cH]1)C(=O)[OH])C(=O)[OH]
KR1961;[!#1]c1[cH]c([cH]c(c1[OH])C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3]
KR1962;[!#1]c1[cH]c([CH3])[cH][cH]c1[CH]([CH3])[CH3]
KR1963;[!#1]c1[cH]c([CH3])[cH][cH]c1[CH3]
KR1964;[!#1]c1[cH]c([CH3])[cH][cH]n1
KR1965;[!#1]c1[cH]c([CH3])[cH]c([CH3])[cH]1
KR1966;[!#1]c1[cH]c([CH3])c(Br)[cH]c1[CH]([CH3])[CH3]
KR1967;[!#1]c1[cH]c([CH3])c(Cl)c([CH3])[cH]1
KR1968;[!#1]c1[cH]c([CH3])n[nH]1
KR1969;[!#1]c1[cH]c([CH3])nc([!#1])c1[OH]
KR1970;[!#1]c1[cH]c([CH3])nc2[cH][cH][cH][cH]c12
KR1971;[!#1]c1[cH]c([N+](=O)[O-])c([CH3])c([cH]1)[N+](=O)[O-]
KR1972;[!#1]c1[cH]c([N+](=O)[O-])c(Cl)[cH]c1Cl
KR1973;[!#1]c1[cH]c([nH]n1)c2[cH][cH][cH][cH][cH]2
KR1974;[!#1]c1[cH]c([OH])[cH][cH]c1[OH]
KR1975;[!#1]c1[cH]c([OH])[cH]c([OH])[cH]1
KR1976;[!#1]c1[cH]c(=O)[nH]c([!#1])n1
KR1977;[!#1]c1[cH]c(=O)oc2[cH][cH][cH][cH]c12
KR1978;[!#1]c1[cH]c(=O)oc2[cH][cH]c([cH]c12)[N+](=O)[O-]
KR1979;[!#1]c1[cH]c(Br)[cH]c(Br)c1[!#1]
KR1980;[!#1]c1[cH]c(Br)[cH]c(Br)c1[OH]
KR1981;[!#1]c1[cH]c(Br)[cH]c(C(=O)[OH])c1[!#1]
KR1982;[!#1]c1[cH]c(Br)c([OH])c(Br)[cH]1
KR1983;[!#1]c1[cH]c(c([OH])c([cH]1)C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3]
KR1984;[!#1]c1[cH]c(C(=O)[OH])c([!#1])[cH]c1C(=O)[OH]
KR1985;[!#1]c1[cH]c(Cl)[cH][cH]c1[OH]
KR1986;[!#1]c1[cH]c(Cl)[cH][cH]c1Cl
KR1987;[!#1]c1[cH]c(Cl)[cH]c(Cl)[cH]1
KR1988;[!#1]c1[cH]c(Cl)[cH]c(Cl)c1O[CH3]
KR1989;[!#1]c1[cH]c(Cl)c([!#1])c(Cl)[cH]1
KR1990;[!#1]c1[cH]c(Cl)c(Cl)[cH]c1Cl
KR1991;[!#1]c1[cH]c(n[nH]1)c2[cH][cH][cH][cH][cH]2
KR1992;[!#1]c1[cH]c(n[nH]1)c2[cH][cH]c([!#1])[cH][cH]2
KR1993;[!#1]c1[cH]c(nc2[cH][cH][cH][cH]c12)c3[cH][cH][cH][cH][cH]3
KR1994;[!#1]c1[cH]c(nc2[cH][cH][cH][cH]c12)N([CH3])[CH3]
KR1995;[!#1]c1[cH]c(nn1c2[cH][cH][cH][cH][cH]2)c3[cH][cH][cH][cH][cH]3
KR1996;[!#1]c1[cH]c(nn1c2[cH][cH][cH][cH][cH]2)c3[cH][cH]c([!#1])[cH][cH]3
KR1997;[!#1]c1[cH]c(O[CH3])[cH][cH]c1O[CH3]
KR1998;[!#1]c1[cH]c(O[CH3])[cH]c(O[CH3])[cH]1
KR1999;[!#1]c1[cH]c(O[CH3])c(O[CH3])[cH]c1[!#1]
KR2000;[!#1]c1[cH]c(O[CH3])c(O[CH3])c(O[CH3])[cH]1
KR2001;[!#1]c1[cH]c(O[CH3])nc(O[CH3])n1
KR2002;[!#1]c1[cH]c2[cH][cH][cH][cH]c2[cH]c1[!#1]
KR2003;[!#1]c1[cH]c2[cH][cH][cH][cH]c2[cH]c1[OH]
KR2004;[!#1]c1[cH]c2[cH][cH][cH][cH]c2[cH]c1O[CH3]
KR2005;[!#1]c1[cH]c2[cH][cH][cH][cH]c2[nH]1
KR2006;[!#1]c1[cH]c2[cH][cH][cH][cH]c2nc1[!#1]
KR2007;[!#1]c1[cH]c2[cH][cH][cH][cH]c2o1
KR2008;[!#1]c1[cH]c2[cH][cH][cH][cH]c2oc1=O
KR2009;[!#1]c1[cH]c2C(=N[OH])[CH2][CH2][CH2][CH2]c2s1
KR2010;[!#1]c1[cH]c2nc3[cH][cH][cH][cH]c3nc2[cH]c1[!#1]
KR2011;[!#1]c1[cH]c2O[CH2][CH2]Oc2[cH]c1[!#1]
KR2012;[!#1]c1[cH]c2O[CH2]Oc2[cH]c1[!#1]
KR2013;[!#1]c1[cH]n([!#1])c2[cH][cH][cH][cH]c12
KR2014;[!#1]c1[cH]n([!#1])c2[cH][cH]c([!#1])[cH]c12
KR2015;[!#1]c1[cH]n([!#1])nc1[!#1]
KR2016;[!#1]c1[cH]n(C(=O)[CH3])c2[cH][cH][cH][cH]c12
KR2017;[!#1]c1[cH]n(nc1c2[cH][cH][cH][cH][cH]2)c3[cH][cH][cH][cH][cH]3
KR2018;[!#1]c1[cH]n[cH]c([!#1])[cH]1
KR2019;[!#1]c1[cH]n[cH]c(Br)[cH]1
KR2020;[!#1]c1[cH]n[nH]c1[!#1]
KR2021;[!#1]c1[cH]n2[cH][cH][cH][cH]c2n1
KR2022;[!#1]c1[cH]n2[CH2][CH2][CH2]c2n1
KR2023;[!#1]c1[cH]n2c(n1)n([!#1])c3[cH][cH][cH][cH]c32
KR2024;[!#1]c1[cH]nc([!#1])c([!#1])[cH]1
KR2025;[!#1]c1[cH]nc([!#1])n[cH]1
KR2026;[!#1]c1[cH]nc([!#1])n1[!#1]
KR2027;[!#1]c1[cH]nc([!#1])o1
KR2028;[!#1]c1[cH]nc2[cH][cH][cH][cH]c2[cH]1
KR2029;[!#1]c1[cH]nc2[cH][cH][cH][cH]c2n1
KR2030;[!#1]c1[cH]nn([!#1])c1[!#1]
KR2031;[!#1]c1[cH]nn([cH]1)c2[cH][cH][cH][cH][cH]2
KR2032;[!#1]c1[cH]oc2[cH][cH]c([!#1])c([!#1])c12
KR2033;[!#1]c1[cH]oc2c1[cH]c([!#1])c3[cH][cH][cH][cH]c23
KR2034;[!#1]c1[cH]sc([!#1])n1
KR2035;[!#1]c1[cH]sc([NH2])n1
KR2036;[!#1]c1[n+]([!#1])[cH][cH]c2[cH][cH][cH][cH]c12
KR2037;[!#1]c1[nH]c([!#1])c([!#1])c1[!#1]
KR2038;[!#1]c1[nH]c2[cH][cH][cH][cH]c2c1[!#1]
KR2039;[!#1]c1[nH]c2[cH][cH]c([!#1])[cH]c2c1[!#1]
KR2040;[!#1]c1[nH]n[cH]c1I
KR2041;[!#1]c1[nH]nc([CH3])c1[N+](=O)[O-]
KR2042;[!#1]c1[nH]nc([CH3])c1Br
KR2043;[!#1]C1=[CH][CH2][CH2][CH2][CH2]1
KR2044;[!#1]C1=[CH][NH][CH]2[CH]=[CH][CH]=[CH][CH]21
KR2045;[!#1]C1=[CH]C(=O)[CH]=[CH]C1=O
KR2046;[!#1]C1=[CH]C(=O)[CH2]C([!#1])([CH3])[CH2]1
KR2047;[!#1]C1=[CH]C(=O)[CH2]C([CH3])([CH3])[CH2]1
KR2048;[!#1]C1=[CH]C(=O)c2[cH][cH][cH][cH]c2C1=O
KR2049;[!#1]C1=[CH]C(=O)OC21[CH2][CH2][CH2][CH2][CH2]2
KR2050;[!#1]C1=[CH]O[CH2][CH2]O1
KR2051;[!#1]C1=C([!#1])[CH]([NH]C(=O)[NH]1)c2[cH][cH][cH][cH][cH]2
KR2052;[!#1]C1=C([!#1])[CH]([NH]C(=O)[NH]1)c2[cH][cH][cH]c([!#1])[cH]2
KR2053;[!#1]C1=C([!#1])[CH](C2=C([CH2]C([!#1])([CH3])[CH2]C2=O)[NH]1)c3[cH][cH][cH]c([!#1])[cH]3
KR2054;[!#1]C1=C([!#1])C(=O)[CH2]C([!#1])([CH3])[CH2]1
KR2055;[!#1]C1=C([!#1])C(=O)c2[cH][cH][cH][cH]c2C1=O
KR2056;[!#1]C1=C([OH])[CH2]C([CH3])([CH3])[CH2]C1=O
KR2057;[!#1]C1=C([OH])C(=O)c2[cH][cH][cH][cH]c2C1=O
KR2058;[!#1]C1=C(C(=O)c2[cH][cH][cH][cH]c12)c3[cH][cH][cH][cH][cH]3
KR2059;[!#1]C1=C2[NH]c3[cH][cH][cH][cH]c3N2[CH2][CH2]C1=O
KR2060;[!#1]C1=N[CH2][CH2][NH]1
KR2061;[!#1]C1=N[CH2][CH2]c2[cH][cH][cH][cH]c12
KR2062;[!#1]C1=N[CH2][CH2]n2[cH][cH][cH]c12
KR2063;[!#1]C1=N[NH]C([CH2]1)(c2[cH][cH][cH][cH][cH]2)c3[cH][cH][cH][cH][cH]3
KR2064;[!#1]C1=Nc2[cH][cH][cH][cH]c2[CH2][CH2][CH2]1
KR2065;[!#1]C12[CH2][CH2][CH2][CH]2[CH]3[CH2][CH2][CH]1[CH2]3
KR2066;[!#1]c1c([!#1])c([!#1])c([!#1])c([!#1])c1[!#1]
KR2067;[!#1]c1c([!#1])c(=O)n(c2[cH][cH][cH][cH][cH]2)n1[!#1]
KR2068;[!#1]c1c([!#1])c2[cH][cH][cH][cH]c2n1[!#1]
KR2069;[!#1]c1c([!#1])c2[cH][cH][cH][cH]c2oc1=O
KR2070;[!#1]c1c([!#1])c2[cH][cH][cH][cH]c2sc1=O
KR2071;[!#1]c1c([!#1])c2[cH]c([!#1])[cH][cH]c2n1[!#1]
KR2072;[!#1]c1c([!#1])c2[cH]c([!#1])[cH][cH]c2n1c3[cH][cH][cH][cH][cH]3
KR2073;[!#1]c1c([!#1])c2[cH]c([!#1])c([!#1])[cH]c2n1[!#1]
KR2074;[!#1]c1c([cH][cH][cH]c1[N+](=O)[O-])C(=O)[OH]
KR2075;[!#1]c1c([cH][cH]c2nonc12)[N+](=O)[O-]
KR2076;[!#1]c1c([cH]c([cH]c1[CH]([CH3])[CH3])[CH]([CH3])[CH3])[CH]([CH3])[CH3]
KR2077;[!#1]c1c([cH]c([cH]c1[N+](=O)[O-])C(=O)[OH])[N+](=O)[O-]
KR2078;[!#1]c1c([cH]c([cH]c1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
KR2079;[!#1]c1c([cH]c([CH3])[cH]c1[N+](=O)[O-])[N+](=O)[O-]
KR2080;[!#1]c1c([cH]c([N+](=O)[O-])c2[cH][cH][cH]nc12)[N+](=O)[O-]
KR2081;[!#1]c1c([cH]nn1[CH3])[N+](=O)[O-]
KR2082;[!#1]c1c([CH3])[cH][cH][cH]c1[CH3]
KR2083;[!#1]c1c([CH3])[cH][cH]c([CH3])c1[CH3]
KR2084;[!#1]c1c([CH3])[cH]c([CH3])[cH]c1[CH3]
KR2085;[!#1]c1c([CH3])[cH]c([CH3])c([CH]=N[OH])c1[CH3]
KR2086;[!#1]c1c([CH3])[cH]c(Br)[cH]c1[CH3]
KR2087;[!#1]c1c([CH3])[nH]c2[cH][cH][cH][cH]c12
KR2088;[!#1]c1c([CH3])c([CH2][CH3])nc2[cH][cH][cH][cH]c12
KR2089;[!#1]c1c([CH3])n([!#1])n([!#1])c1=O
KR2090;[!#1]c1c([CH3])n([CH3])n(c2[cH][cH][cH][cH][cH]2)c1=O
KR2091;[!#1]c1c([CH3])nn([!#1])c1[CH3]
KR2092;[!#1]c1c([N+](=O)[O-])c([!#1])c([N+](=O)[O-])c([!#1])c1[N+](=O)[O-]
KR2093;[!#1]c1c([nH]c2[cH][cH]c([!#1])[cH]c12)C(=O)[OH]
KR2094;[!#1]c1c([OH])[cH][cH]c2[cH][cH][cH][cH]c12
KR2095;[!#1]c1c([OH])[cH]c([OH])[cH]c1[OH]
KR2096;[!#1]c1c([OH])c2[cH][cH][cH][cH]c2oc1=O
KR2097;[!#1]c1c([OH])c2[cH][cH][cH][cH]c2sc1=O
KR2098;[!#1]c1c(Br)[cH]c(Br)[cH]c1Br
KR2099;[!#1]c1c(Br)[cH]c(Br)c2[cH][cH][cH]nc12
KR2100;[!#1]c1c(c2[cH][cH][cH][cH][cH]2)c3[cH]c([!#1])[cH][cH]c3n1[!#1]
KR2101;[!#1]c1c(Cl)[cH][cH][cH]c1Cl
KR2102;[!#1]c1c(Cl)[cH]c(Cl)[cH]c1Cl
KR2103;[!#1]c1c(F)[cH][cH][cH]c1F
KR2104;[!#1]c1c(F)c(F)c([!#1])c(F)c1F
KR2105;[!#1]c1c(F)c(F)c(F)c(F)c1F
KR2106;[!#1]c1c(n[cH]n1[CH3])[N+](=O)[O-]
KR2107;[!#1]c1c(nc([CH3])n1[!#1])[N+](=O)[O-]
KR2108;[!#1]c1c2[CH]([OH])[CH2]C([CH3])([CH3])[CH2]c2nc3[cH][cH][cH][cH]c13
KR2109;[!#1]c1c2[cH][cH][cH][cH]c2[cH]c3[cH][cH][cH][cH]c13
KR2110;[!#1]c1c2[cH][cH][cH][cH]c2c([!#1])c3[cH][cH][cH][cH]c13
KR2111;[!#1]c1c2[cH][cH][cH][cH]c2n3c([CH3])nc4[cH][cH][cH][cH]c4c13
KR2112;[!#1]c1c2[cH][cH][cH][cH]c2nc3[cH][cH][cH][cH]c13
KR2113;[!#1]c1c2[CH2][CH2][CH2][CH2]c2nc3[cH][cH][cH][cH]c13
KR2114;[!#1]c1c2[CH2][CH2][CH2]c2nc3[cH][cH][cH][cH]c13
KR2115;[!#1]c1c2[CH2][CH2][CH2]c2nc3[CH2][CH2][CH2][CH2]c13
KR2116;[!#1]c1c2[CH2][CH2][CH2]c2nc3[CH2][CH2][CH2]c31
KR2117;[!#1]c1c2[CH2][CH2]N([CH3])c2nc3[cH][cH][cH][cH]c13
KR2118;[!#1]c1c2C(=O)[CH2]C([!#1])([CH3])[CH2]c2nc3[cH][cH][cH][cH]c13
KR2119;[!#1]c1c2C(=O)[CH2]C([CH3])([CH3])[CH2]c2nc3[cH][cH][cH][cH]c13
KR2120;[!#1]c1n([!#1])c2[cH][cH][cH][cH]c2[n+]1[!#1]
KR2121;[!#1]c1n([!#1])c2[cH][cH]c([!#1])[cH]c2[n+]1[!#1]
KR2122;[!#1]c1n([CH3])c2[cH][cH][cH][cH]c2[n+]1[CH3]
KR2123;[!#1]c1n[cH][cH][cH]c1[CH3]
KR2124;[!#1]c1n[cH][cH][cH]c1[OH]
KR2125;[!#1]c1n[cH][cH][cH]n1
KR2126;[!#1]c1n[cH][cH]c(n1)c2[cH][cH][cH][cH][cH]2
KR2127;[!#1]c1n[cH][cH]n1[!#1]
KR2128;[!#1]c1n[cH][cH]nc1[!#1]
KR2129;[!#1]c1n[cH][cH]nc1C(=O)[OH]
KR2130;[!#1]c1n[cH][cH]nc1O[CH3]
KR2131;[!#1]c1n[cH][cH]s1
KR2132;[!#1]c1n[cH][nH]c1[!#1]
KR2133;[!#1]c1n[cH][nH]n1
KR2134;[!#1]c1n[cH]c(s1)c2[cH][cH][cH][cH][cH]2
KR2135;[!#1]c1n[cH]n([!#1])c1[!#1]
KR2136;[!#1]c1n[cH]n[nH]1
KR2137;[!#1]c1n[cH]nc([!#1])c1[!#1]
KR2138;[!#1]c1n[cH]nc2[nH][cH]nc12
KR2139;[!#1]c1n[cH]nc2n[cH][nH]c12
KR2140;[!#1]c1n[cH]nc2sc([CH3])c([CH3])c12
KR2141;[!#1]c1n[cH]nc2sc3[CH2][CH2][CH2][CH2]c3c12
KR2142;[!#1]c1n[nH]c([!#1])c1[!#1]
KR2143;[!#1]c1n[nH]c([!#1])n1
KR2144;[!#1]c1n[nH]c([NH2])n1
KR2145;[!#1]c1n[nH]c(=O)[nH]c1=O
KR2146;[!#1]c1n[nH]c(=O)c2[cH][cH][cH][cH]c12
KR2147;[!#1]c1n[nH]c(=S)[nH]c1=O
KR2148;[!#1]c1n[nH]c2[CH2][CH2][CH2][CH2]c12
KR2149;[!#1]c1nc([!#1])c([!#1])[nH]1
KR2150;[!#1]c1nc([!#1])c([!#1])c([!#1])n1
KR2151;[!#1]c1nc([!#1])c([!#1])s1
KR2152;[!#1]c1nc([!#1])c2[cH][cH][cH][cH]c2n1
KR2153;[!#1]c1nc([!#1])c2c3[CH2][CH2][CH2][CH2]c3sc2n1
KR2154;[!#1]c1nc([!#1])n([!#1])n1
KR2155;[!#1]c1nc([!#1])nc([!#1])n1
KR2156;[!#1]c1nc([!#1])nc([NH][CH3])n1
KR2157;[!#1]c1nc([!#1])nc([NH]N=[CH]c2[cH][cH][cH]c([N+](=O)[O-])c2[OH])n1
KR2158;[!#1]c1nc([!#1])nc(Cl)n1
KR2159;[!#1]c1nc([!#1])nc(n1)N2[CH2][CH2][CH2][CH2][CH2]2
KR2160;[!#1]c1nc([!#1])nc(n1)N2[CH2][CH2][NH][CH2][CH2]2
KR2161;[!#1]c1nc([!#1])nc(n1)N2[CH2][CH2]O[CH2][CH2]2
KR2162;[!#1]c1nc([!#1])nc(O[CH](C(F)(F)F)C(F)(F)F)n1
KR2163;[!#1]c1nc([!#1])nc(O[CH3])n1
KR2164;[!#1]c1nc([cH]c(n1)c2[cH][cH][cH][cH][cH]2)c3[cH][cH][cH][cH][cH]3
KR2165;[!#1]c1nc([cH]s1)C2([CH2][CH]3[CH2][CH]4[CH2][CH]([CH2]3)[CH2]2)[CH2]4
KR2166;[!#1]c1nc([cH]s1)c2[cH][cH][cH][cH][cH]2
KR2167;[!#1]c1nc([cH]s1)c2[cH][cH]c([!#1])[cH][cH]2
KR2168;[!#1]c1nc([cH]s1)c2[cH][cH]c([!#1])c([!#1])[cH]2
KR2169;[!#1]c1nc([CH3])[cH][cH]c1[OH]
KR2170;[!#1]c1nc([CH3])[cH]c([CH3])n1
KR2171;[!#1]c1nc([CH3])[cH]s1
KR2172;[!#1]c1nc([CH3])nc(O[CH3])n1
KR2173;[!#1]c1nc([CH3])nc2sc3[CH2][CH2][CH2][CH2]c3c12
KR2174;[!#1]c1nc([NH2])nc(Cl)n1
KR2175;[!#1]c1nc([OH])[cH]c(=O)[nH]1
KR2176;[!#1]c1nc(=O)c([!#1])c([!#1])[nH]1
KR2177;[!#1]c1nc(c([!#1])s1)c2[cH][cH][cH][cH][cH]2
KR2178;[!#1]c1nc(c([!#1])s1)c2[cH][cH]c([!#1])[cH][cH]2
KR2179;[!#1]c1nc(Cl)nc(Cl)n1
KR2180;[!#1]c1nc(I)[cH][cH]c1[OH]
KR2181;[!#1]c1nc(nc(n1)N2[CH2][CH2]O[CH2][CH2]2)N3[CH2][CH2][CH2][CH2][CH2]3
KR2182;[!#1]c1nc(nc(n1)N2[CH2][CH2]O[CH2][CH2]2)N3[CH2][CH2]O[CH2][CH2]3
KR2183;[!#1]c1nc(O[CH3])nc(O[CH3])n1
KR2184;[!#1]c1nc2[cH][cH][cH][cH]c2[nH]1
KR2185;[!#1]c1nc2[cH][cH][cH][cH]c2[nH]c1=O
KR2186;[!#1]c1nc2[cH][cH][cH][cH]c2c([!#1])c1[!#1]
KR2187;[!#1]c1nc2[cH][cH][cH][cH]c2c(=O)[nH]1
KR2188;[!#1]c1nc2[cH][cH][cH][cH]c2c(=O)n1c3[cH][cH][cH][cH][cH]3
KR2189;[!#1]c1nc2[cH][cH][cH][cH]c2c(=O)o1
KR2190;[!#1]c1nc2[cH][cH][cH][cH]c2c3[cH][cH][cH][cH]c13
KR2191;[!#1]c1nc2[cH][cH][cH][cH]c2n1[!#1]
KR2192;[!#1]c1nc2[cH][cH][cH][cH]c2nc1[!#1]
KR2193;[!#1]c1nc2[cH][cH][cH][cH]c2o1
KR2194;[!#1]c1nc2[cH][cH][cH][cH]c2s1
KR2195;[!#1]c1nc2[cH][cH][cH][cH]n2c1[!#1]
KR2196;[!#1]c1nc2[cH][cH]c([!#1])[cH]c2[nH]1
KR2197;[!#1]c1nc2[cH][cH]c([!#1])[cH]c2o1
KR2198;[!#1]c1nc2[cH][cH]c([!#1])[cH]c2s1
KR2199;[!#1]c1nc2[cH][cH]c([CH3])[cH]c2s1
KR2200;[!#1]c1nc2[cH]c([!#1])[cH][cH]c2[nH]1
KR2201;[!#1]c1nc2[cH]c([!#1])[cH][cH]c2o1
KR2202;[!#1]c1nc2[cH]c([!#1])[cH][cH]c2s1
KR2203;[!#1]c1nc2[cH]c(Cl)[cH][cH]c2o1
KR2204;[!#1]c1nc2n([!#1])c(=O)[nH]c(=O)c2n1[!#1]
KR2205;[!#1]c1nc2n([!#1])c(=O)n([!#1])c(=O)c2n1[!#1]
KR2206;[!#1]c1nc2nc([!#1])[cH]c([!#1])n2n1
KR2207;[!#1]c1nc2nc([cH]c(c3[cH][cH][cH][cH][cH]3)n2n1)c4[cH][cH][cH][cH][cH]4
KR2208;[!#1]c1nc2nc([CH3])[cH]c([CH3])n2n1
KR2209;[!#1]c1nc2nonc2nc1[!#1]
KR2210;[!#1]c1nc2sc3[CH2][CH2][CH2][CH2]c3c2c(=O)n1[!#1]
KR2211;[!#1]c1nc2sc3[CH2][CH2][CH2][CH2]c3c2s1
KR2212;[!#1]c1nn([!#1])c([!#1])c1[!#1]
KR2213;[!#1]c1nn([CH3])[cH]c1Br
KR2214;[!#1]c1nn(c([!#1])c1[!#1])c2[cH][cH][cH][cH][cH]2
KR2215;[!#1]c1nn(c([!#1])c1[!#1])c2[cH][cH]c([!#1])[cH][cH]2
KR2216;[!#1]c1nn[cH][nH]1
KR2217;[!#1]c1nn[cH]n1c2[cH][cH][cH][cH][cH]2
KR2218;[!#1]c1nnc([!#1])n1[!#1]
KR2219;[!#1]c1nnc([!#1])n1c2[cH][cH][cH][cH][cH]2
KR2220;[!#1]c1nnc([!#1])o1
KR2221;[!#1]c1nnc([!#1])s1
KR2222;[!#1]c1nnc([CH2][CH3])s1
KR2223;[!#1]c1nnc([CH3])s1
KR2224;[!#1]c1nnc([NH2])s1
KR2225;[!#1]c1nnc2c([!#1])nc3nonc3n12
KR2226;[!#1]c1nnc2c3[cH][cH][cH][cH]c3[nH]c2n1
KR2227;[!#1]c1nnn[nH]1
KR2228;[!#1]c1nnnn1[!#1]
KR2229;[!#1]c1nnnn1c2[cH][cH][cH][cH][cH]2
KR2230;[!#1]c1nnnn1c2c([!#1])[cH][cH][cH]c2[!#1]
KR2231;[!#1]c1nnnn1c2c([CH3])[cH][cH][cH]c2[CH3]
KR2232;[!#1]c1no[n+]([!#1])c1[!#1]
KR2233;[!#1]c1nonc1[!#1]
KR2234;[!#1]c1oc2[cH][cH][cH][cH]c2[n+]1[!#1]
KR2235;[!#1]c1oc2[cH][cH]c([!#1])[cH]c2c1[!#1]
KR2236;[!#1]c1oc2[cH][cH]c([!#1])c([!#1])c2c1[!#1]
KR2237;[!#1]c1oc2[cH]c([!#1])c([!#1])[cH]c2c1[!#1]
KR2238;[!#1]c1oc2c([!#1])c([!#1])c([!#1])[cH]c2c1[!#1]
KR2239;[!#1]c1s[cH][n+]([!#1])c1[!#1]
KR2240;[!#1]c1s[cH][n+]([!#1])c1[CH3]
KR2241;[!#1]c1s[cH]c(c1[!#1])c2[cH][cH][cH][cH][cH]2
KR2242;[!#1]c1sc([!#1])c([!#1])c1[!#1]
KR2243;[!#1]c1sc([!#1])c(c1[!#1])c2[cH][cH][cH][cH][cH]2
KR2244;[!#1]c1sc([CH3])c([CH3])c1[!#1]
KR2245;[!#1]c1sc2[cH][cH][cH][cH]c2[n+]1[!#1]
KR2246;[!#1]c1sc2[cH][cH][cH][cH]c2c1[!#1]
KR2247;[!#1]c1sc2[cH][cH][cH][cH]c2c1Cl
KR2248;[!#1]c1sc2[cH][cH]c([!#1])[cH]c2[n+]1[!#1]
KR2249;[!#1]c1sc2[cH][cH]c3[cH][cH][cH][cH]c3c2[n+]1[!#1]
KR2250;[!#1]c1sc2[cH]c([!#1])[cH][cH]c2c1[!#1]
KR2251;[!#1]c1sc2[cH]c(F)[cH][cH]c2c1Cl
KR2252;[!#1]c1sc2[CH2][CH2][CH2][CH2]c2c1[!#1]
KR2253;[!#1]c1sc2[CH2][CH2][CH2][CH2]c2c1C(=O)[NH2]
KR2254;[!#1]c1sc2c([!#1])[cH][cH][cH]c2c1[!#1]
KR2255;[!#1]c1sc2c([!#1])c([!#1])[cH][cH]c2c1[!#1]
KR2256;[!#1]c1sc2C(=N[OH])[CH2][CH2][CH2]c2c1[!#1]
KR2257;[!#1]c1sc2C(=O)[CH2][CH2][CH2]c2c1[!#1]
KR2258;[!#1]c1sc2n[cH]nc([!#1])c2c1[!#1]
KR2259;[!#1]Cl
KR2260;[!#1]F
KR2261;[!#1]I
KR2262;[!#1]N([!#1])[!#1]
KR2263;[!#1]N([!#1])[CH2]c1[cH][cH][cH][cH][cH]1
KR2264;[!#1]N([!#1])[CH3]
KR2265;[!#1]N([!#1])C(=O)[!#1]
KR2266;[!#1]N([!#1])C(=O)O[CH2][CH3]
KR2267;[!#1]N([!#1])c1[cH][cH][cH][cH][cH]1
KR2268;[!#1]N([!#1])c1[cH][cH][cH]c2[cH][cH][cH][cH]c12
KR2269;[!#1]N([CH]([CH]([CH3])[CH3])C(=O)[!#1])C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]
KR2270;[!#1]N([CH]([CH]([CH3])[CH3])C(=O)[OH])C(=S)SC([!#1])([!#1])C(=O)[!#1]
KR2271;[!#1]N([CH]([CH2]c1[cH][cH][cH][cH][cH]1)C(=O)[!#1])C(=O)c2[cH][cH][cH][cH]c2C(=O)[!#1]
